name,title,score,comment,price,author,data,store,translate
1984,栗树荫下，我出卖你，你出卖我,9.3,159583人评价,28.00,刘绍铭 ,2010-4-1 ,北京十月文艺出版社 ,[英] 乔治·奥威尔 
百年孤独,魔幻现实主义文学代表作,9.2,308311人评价,39.50,范晔 ,2011-6 ,南海出版公司 ,[哥伦比亚] 加西亚·马尔克斯 
飘,革命时期的爱情，随风而逝,9.3,164927人评价,40.00,李美华 ,2000-9 ,译林出版社 ,[美国] 玛格丽特·米切尔 
白夜行,一宗离奇命案牵出跨度近20年步步惊心的故事,9.1,297235人评价,39.50,刘姿君 ,2013-1-1 ,南海出版公司 ,[日] 东野圭吾 
动物农场,太阳底下并无新事,9.2,98445人评价,10.00,荣如德 ,2007-3 ,上海译文出版社 ,[英] 乔治·奥威尔 
福尔摩斯探案全集（上中下）,名侦探的代名词,9.3,96104人评价,53.00/68.00,丁钟华 等 ,1981-8 ,群众出版社 ,[英] 阿·柯南道尔 
小王子,献给长成了大人的孩子们,9.0,599186人评价,22.00,马振聘 ,2003-8 ,人民文学出版社 ,[法] 圣埃克苏佩里 
安徒生童话故事集,为了争取未来的一代,9.2,93835人评价,25.00,叶君健 ,1997-08 ,人民文学出版社 ,（丹麦）安徒生 
哈利•波特,从9¾站台开始的旅程,9.7,30193人评价,498.00,苏农 ,2008-12-1 ,人民文学出版社 ,J.K.罗琳 (J.K.Rowling) 
冰与火之歌（卷一）,凛冬将至。无比宏大的世界观,9.3,32790人评价,68.00,谭光磊 ,2005-5 ,重庆出版社 ,[美] 乔治·R. R. 马丁 
人类简史,跟着人类一同走过十万年,9.1,138713人评价,CNY 68.00,林俊宏 ,2014-11 ,中信出版社 ,[以色列] 尤瓦尔·赫拉利 
杀死一只知更鸟,有一种东西不能遵循从众原则，那就是——人的良心,9.2,84807人评价,32.00,高红梅 ,2012-9 ,译林出版社 ,[美] 哈珀·李 
局外人,人生在世，永远也不该演戏作假,9.0,140342人评价,22.00,柳鸣九 ,2010-8 ,上海译文出版社 ,[法] 阿尔贝·加缪 
霍乱时期的爱情,义无反顾地直达爱情的核心,9.0,193793人评价,39.50,杨玲 ,2012-9-1 ,南海出版公司 ,[哥伦比亚] 加西亚·马尔克斯 
月亮和六便士,有多少人会经历顿悟，就有更少的人甘愿自我放逐,9.0,146164人评价,15.00,傅惟慈 ,2006-8 ,上海译文出版社 ,[英] 毛姆 
肖申克的救赎,豆瓣电影Top1原著,9.1,89394人评价,29.90,施寄青 ,2006-7 ,人民文学出版社 ,[美] 斯蒂芬·金 
基督山伯爵,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,9.0,104399人评价,43.90,周克希 ,1991-12-1 ,上海译文出版社 ,大仲马 
东方快车谋杀案,谋杀诡计惊人，波洛的抉择耐人寻味,9.0,101871人评价,18.00,陈尧光 ,2006-5 ,人民文学出版社 ,[英] 阿加莎·克里斯蒂 
追风筝的人,为你，千千万万遍,8.9,663961人评价,29.00,李继宏 ,2006-5 ,上海人民出版社 ,[美] 卡勒德·胡赛尼 
新名字的故事,探索青年时代的激情、困惑、挣扎、背叛和失去,9.0,48947人评价,59.00,陈英 ,2017-4 ,人民文学出版社 ,[意] 埃莱娜·费兰特 
失踪的孩子,我的整个生命，只是一场为了提升社会地位的低俗斗争。,9.1,39138人评价,62.00,陈英 ,2018-7 ,人民文学出版社 ,[意] 埃莱娜·费兰特 
江城,外国人眼中的涪陵,9.1,39585人评价,36.00,李雪顺 ,2012-1 ,上海译文出版社 ,[美] 彼得·海斯勒 
嫌疑人X的献身,数学好是一种极致的浪漫,8.9,426348人评价,28.00,刘子倩 ,2008-9 ,南海出版公司 ,[日] 东野圭吾 
刀锋,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,9.0,58023人评价,18.00,周煦良 ,2007-3 ,上海译文出版社 ,[英]毛姆 
寻路中国,《纽约客》驻北京记者驾车漫游中国大陆的经历,9.0,42919人评价,33.00,李雪顺 ,2011-1 ,上海译文出版社 ,[美] 彼得·海斯勒 
傲慢与偏见,所有现代言情小说的母体,8.9,192626人评价,13.00,张玲 ,1993-7 ,人民文学出版社 ,[英] 奥斯丁 
格林童话全集,一本有教育意义的书,9.0,72722人评价,21.45,魏以新 ,1994-11 ,人民文学出版社 ,[德国]格林兄弟 
无人生还,童谣杀人案,8.9,104255人评价,19.00,祁阿红 ,2008-3 ,人民文学出版社 ,[英] 阿加莎・克里斯蒂 
艺术的故事,从最早的洞窟绘画到当今的实验艺术,9.6,16118人评价,280.00,范景中 ,2008-04 ,广西美术出版社 ,[英] 贡布里希 (Sir E.H.Gombrich) 
神雕侠侣,至情至性，情大于武,8.9,82529人评价,76.80,有1996年11月北平第4次印本 ,1994-5 ,生活·读书·新知三联书店 ,金庸 
悲惨世界（上中下）,现实主义与浪漫主义的至高杰作,9.0,51707人评价,66.00,李丹 ,1992-6 ,人民文学出版社 ,[法] 雨果 
卡拉马佐夫兄弟,错综复杂的社会、家庭矛盾和人性悲剧,9.4,16148人评价,25.00,荣如德 ,2006-8 ,上海译文出版社 ,[俄] 费奥多尔·陀思妥耶夫斯基 
史记（全十册）,史家之绝唱，无韵之离骚,9.5,17768人评价,125.00,（索隐）司马贞，（正义）张守节 ,1982-11 ,中华书局 ,司马迁 
树上的男爵,是不是真的只有先与人疏离，才能最终与他们在一起？,9.1,25952人评价,30.00,吴正仪 ,2012-4-1 ,译林出版社 ,[意] 伊塔洛·卡尔维诺 
邓小平时代,个人命运背后的历史变局,9.2,31925人评价,88.00,冯克利 ,2013-1 ,生活·读书·新知三联书店 ,[美] 傅高义 
灿烂千阳,唯有希望与爱可以驱散阴霾,8.8,93809人评价,28.00,李继宏 ,2007-9 ,上海人民出版社 ,[美] 卡勒德·胡赛尼 
西游记（全二册）,神魔皆有人情，精魅亦通世故,8.9,61824人评价,47.20,黄肃秋 注释 ,2004-8 ,人民文学出版社 ,吴承恩 
永恒的终结,关于时间旅行的终极奥秘和恢宏构想,9.0,25402人评价,32.00,崔正男 ,2014-9-1 ,江苏凤凰文艺出版社 ,[美] 艾萨克·阿西莫夫 
窗边的小豆豆,真正懂孩子的教育经,8.7,164537人评价,20.00,赵玉皎 ,2003-1 ,南海出版公司 ,[日] 黑柳彻子 著 
悉达多,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……,9.0,27603人评价,20.00,杨玉功 译 ,2009-3 ,上海人民出版社 ,[德] 赫尔曼·黑塞 
