name,time,salary,company,area,exp,edu,number,tags
web前端开发工程师,11-09,,“前程无忧”51job.com（上海）,上海-浦东新区,1年经验,本科,招1人,五险一金 免费班车 专业培训 年终奖金 定期体检 7天带薪年假 12天带薪病假 补充医疗保险
高级前端开发工程师,11-09,1.5-2.5万/月,新浪时金（上海）信息技术有限公司,上海-浦东新区,3-4年经验,本科,招1人,五险一金 补充医疗保险 做五休二 带薪年假 节日福利 餐饮补贴 绩效奖金 周末双休
Web前端开发工程师,11-09,1.5-2万/月,杉德支付网络服务发展有限公司,上海-徐汇区,3-4年经验,本科,招2人,五险一金 餐饮补贴 年终奖金 弹性工作
前端开发工程师,11-09,1.5-2万/月,上海士翌测试技术有限公司,上海-浦东新区,2年经验,本科,招2人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权 弹性工作 定期体检
前端开发工程师,11-09,1.2-1.8万/月,上海开域信息科技有限公司,上海-长宁区,2年经验,本科,招1人,五险一金 年终奖金 弹性工作
Web前端开发工程师,11-09,0.8-1.5万/月,上海欢动科技有限公司,上海-浦东新区,2年经验,大专,招1人,补充医疗保险 五险一金 员工旅游 绩效奖金 年终奖金 定期体检 上班撸猫
Web前端开发工程师(外包哈啰),11-09,1.5-2万/月,上海会嘉薪信息科技有限公司,上海,3-4年经验,本科,招1人,老板nice 发展空间大 五险一金 专业培训 定期体检 餐饮补贴 绩效奖金
前端开发工程师,11-09,1-1.5万/月,上海达尔威贸易有限公司,上海-静安区,2年经验,大专,招1人,五险一金 餐饮补贴 年终奖金 员工旅游 做五休二 节日福利
前端开发工程师,11-09,1.5-2万/月,上海圣有爱科技有限公司,上海-长宁区,5-7年经验,本科,招1人,
Web前端开发工程师,11-09,0.8-1.5万/月,上海蜂雷网络科技有限公司,上海-松江区,2年经验,大专,招若干人,带薪年假 节日福利 专业培训 员工旅游 弹性工作 绩效奖金
Web前端开发工程师,11-09,1-1.5万/月,梅花网,上海,3-4年经验,大专,招1人,绩效奖金 五险一金 周末双休 节日福利
