name,city,location,date,high_price,low_price,actor,state
2020苏州M_DSK跨年限定日,苏州,2020.12.31-2021.01.01,满舒克、黄旭、王以太、万妮达,售票中,苏州相城活力岛,260,720
七彩云南·2020五百里音乐节,昆明,2020.11.28-11.29,痛仰乐队、宋冬野、陈粒、五条人、Tizzy T、满舒克、木马乐队、马赛克、霓虹花园、焦迈奇,售票中,云南省昆明市晋宁区环湖南路古滇精品湿地公园,260,560
2020国潮音乐嘉年华 苏州站,苏州,2020.11.21-11.22,张信哲、赵雷、爽子、李紫婷、张韶涵、太一、陈立农、毛不易、SUNNEE、孟子坤,售票中,苏州太湖园博园景区,488,688
神武4·动感地带第十四届音乐盛典咪咕汇（线上直播）,广州,2020.12.05 周六 18:30,,售票中,广州宝能观致文化中心,2,88
杭盖乐队《北归》摇滚与铜管音乐会,北京,2020.12.04-12.05,,售票中,天桥艺术中心-大剧场,99,1376
王北车·N·2020巡回演唱会,杭州,2020.12.26 周六 20:00,,售票中,大麦66LiveHouse杭州,280,280
2020嘉善大云·云上乡村音乐节,嘉兴,2020.11.21 周六 15:00,许巍,售票中,嘉兴嘉善县云澜湾温泉景区,199,299
2020青秀·绿野音乐节,南宁,2020.12.04-12.06,,售票中,南宁青秀山东区大草坪,50,328
王以太2020苏州站 12月05日苏州MYSTLAND,苏州,2020.12.05 周六 21:30,,售票中,MYSTLAND酒吧,98,98
2020“平安夜一起来听歌”圣诞演唱会-唯有浪漫不可辜负,杭州,2020.12.24 周四 19:30,,售票中,酒球会(9-Club),180,299
《不知所措》《善变》《爱，存在》原唱——王靖雯个人专场 邀你一起现场感受情歌魅力,武汉,2020.12.13 周日 20:30,,售票中,L7 Livehouse(珞狮路南国大家装A2栋三层),80,100
野外合作社「如何在风中」浸入式音乐会 杭州站,杭州,2020.11.21 周六 20:30,,售票中,酒球会@目里空间,200,450
王北车•N•2020巡回演唱会,西安,2020.12.20 周日 20:00,,售票中,星球工厂LIVEHOUSE,280,280
裘德“巡演的时候我要「缺席」” 北京站,北京,2020.12.27 周日 20:00,,售票中,疆进酒·OMNI SPACE,120,120
南游记乐队“孤独演说家”2021新年演唱会,南京,2020.12.19 周六 19:30,,售票中,江苏荔枝大剧院,120,480
亚洲首场冬季SKI滑雪电音嘉年华,吉林,2020.12.11-12.12,,售票中,吉林万科松花湖度假区,380,1080
2020“平安夜一起来听歌”圣诞演唱会-唯有浪漫不可辜负,北京,2020.12.24 周四 19:30,,售票中,糖果TANGO-雍和宫店三层,180,580
中国之夜—DM电音节,柳州,2020.11.22 周日,,售票中,柳州体育中心体育场,99,299
NONG ARCHIVE TOUR PART.2 武汉站,武汉,2020.11.21 周六 20:30,,售票中,不晚IN TIME LIVE,200,200
2020“平安夜一起来听歌”圣诞演唱会-深圳站,深圳,2020.12.24 周四 19:30,,售票中,深圳市南山区A8音乐大厦二层A8Live,180,580
Click#15疯客与舞蹈FUNK ＆ DANCE 2020巡演   南京站,南京,2020.11.26 周四 20:30,,售票中,南京-稻香音乐空间,200,200
2020.12.12【西演live呈现 】joyside乐队西安特别专场,西安,2020.12.12 周六 20:30,,售票中,西演LIVE·1935LIVEHOUSE,240,280
2020太湖迷笛跨年夜,无锡,2020.12.31-2021.01.01,RollingZoos、LOFT BEACH,售票中,寅派动力(无锡)新文化空间,230,230
徐真真《我不是渣 你不是她》2020巡演 上海站,上海,2020.11.29 周日 20:30,,售票中,MAO Livehouse上海,120,250
【中国新说唱、说唱听我的 人气选手】 出来玩er·全国巡演 南京站,南京,2021.01.08 周五 20:00,,售票中,南京-稻香音乐空间,220,380
刺猬现场* 2020巡回演出—西安站,西安,2020.11.28 周六 20:00,,售票中,西演LIVE·大华1935玖剧场,328,328
Kanna Bush孟子坤 2020「坎纳布什的峡谷」限定演出,杭州,2020.12.12 周六 20:00,孟子坤,售票中,大麦66LiveHouse杭州,369,521
打扰一下乐团 2020“世界不会轻易崩塌”全国巡演—佛山站,佛山,2020.12.26 周六 20:00,,售票中,佛山国际体育文化演艺中心副馆,160,280
聚橙主办｜“从心出发”王铮亮个人全国巡回演唱会,苏州,2020.12.04 周五 19:30,,售票中,苏州聚橙尹山湖大剧院,50,380
2020“平安夜一起来听歌”圣诞演唱会-唯有浪漫不可辜负,广州,2020.12.24 周四 19:30,,售票中,MAO Livehouse广州,180,299
【酒水畅饮】夜猫歌舞厅 杀马特文艺复兴派对,西安,2020.11.21-11.22,,售票中,MAO Livehouse西安,20,199
上海 | Blue Note Shanghai 音乐剧之夜 第三场 11月25日,上海,2020.11.25 周三 19:30,,售票中,Blue Note Shanghai,199,199
白日密语+重返袖珍时光+二区六楼—菠萝乐场10周年 take 2,西安,2020.11.21 周六 20:00,,售票中,西安创矩音乐现场,120,218
Click#15疯客与舞蹈2.0 2020全国巡演（山西站）,太原,2020.12.31 周四 19:30,,售票中,山西大剧院,180,515
周云蓬与乐队「否极泰来」2020巡演 重庆站,重庆,2020.12.06 周日 20:30,,售票中,坚果LIVEHOUSE,150,150
爆笑脱口秀演出-喜剧联盒国,上海,2020.11.22-12.19,Storm Xu（脱口秀演员）,售票中,猫悦上城OmS中剧场,180,180
爆笑脱口秀演出-喜剧联盒国,上海,2020.11.28-12.12,Storm Xu（脱口秀演员）,售票中,Blue Note Shanghai,180,180
2020圣诞超级枕头大战-全程高能一战入魂 无锡站,无锡,2020.12.25 周五 19:30,,售票中,寅派动力(无锡)新文化空间,128,228
《光辉的岁月·纪念黄家驹逝世27载》巡回演唱会 杭州安可站,杭州,2020.12.30 周三 20:30,,售票中,MAO Livehouse杭州,168,268
「浪漫制造器」和平饭店 / 温和治疗 / 桃子假象Lite / 帆布小镇,珠海,2020.12.24 周四 19:30,,售票中,珠海乐坊Livehouse,150,260
果味VC「拥抱之城」2020全国巡演-杭州站,杭州,2020.11.29 周日 20:30,果味VC,售票中,MAO Livehouse杭州,99,120
MOJOHAND 2020/2021新专辑巡演 无锡站,无锡,2021.01.16 周六 20:00,,售票中,寅派动力(无锡)新文化空间,100,120
“遗忘之潮”2020后摇联合巡演 济南站,济南,2020.11.21 周六 20:30,,售票中,班卓音乐酒吧,100,100
【秀动呈献】十七草×lambert「YOUNG BOSS」巡演 南京站,南京,2020.12.27 周日 20:30,,售票中,欧拉艺术空间,80,80
YOUNG ARTISTS,西安,2020.11.26 周四 20:30,,售票中,西安创矩音乐现场,40,70
津味儿摇滚之夜 李亮节摇滚大鼓新年音乐会,天津,2021.01.24 周日 19:30,,售票中,大麦66LiveHouse天津,40,200
抖in广州·粤潮制燥,广州,2020.11.28-11.29,,售票中,BIG海珠湾艺术园,0,0
与她生活节Pro 杭州站,杭州,2020.12.25 周五 20:00,,售票中,MAO Livehouse杭州,220,220
葡萄合唱团PRO(葡萄不愤怒X新学校废物合唱团)联合巡演 西安站,西安,2020.11.28 周六 20:30,,售票中,星球工厂LIVEHOUSE,150,150
